elo.diff;outcome
-30.1999999999999;0
-38.4;1
-44.3999999999999;1
38;1
-40.5999999999999;1
14;1
42.6;1
-114.4;1
-155.6;0
72.8000000000001;0
232.4;1
255.2;1
-13.4000000000001;1
-5.19999999999993;1
-17.4;1
-49.8;0
87.8;1
-53.3999999999999;0
-62.6;0
54.8000000000001;0
-49.3999999999999;1
42.3999999999999;0
160.2;1
21.8;1
222;1
-58.6;0
12.6;1
4.79999999999995;1
3.19999999999982;0
102.6;0
-100.2;1
-112.2;1
-171.2;1
-62.4000000000001;0
-53.0000000000001;0
-119.4;0
47.2;0
-9.80000000000007;0
-55;0
7.20000000000005;1
49;0
-26.6;0
-109.2;0
2.19999999999993;0
-12.2;0
63.6000000000001;0
73.1999999999999;0
-139.6;1
142.4;1
23;0
-9.79999999999995;0
-417.8;0
-297.6;0
-16;1
-11.2;0
0.800000000000068;1
96.0000000000001;1
15.4000000000001;0
87.8000000000001;1
81.8;0
-110.4;0
15.2;0
-44.8000000000002;0
-24.1999999999999;0
-28.8000000000001;0
-170.6;0
137.2;1
-115.6;0
39.5999999999999;0
121;1
-99.8;0
-57.8;1
-74.2;0
11.2;1
32;0
74.0000000000001;0
327.6;1
112.4;0
43.8;0
56.0000000000001;0
-125.6;0
277.4;1
0.599999999999909;1
-172.4;1
-49.1999999999998;1
-169.4;0
84.2;1
-2.60000000000002;1
-23;1
89.8000000000001;1
-42.2;0
-61.8000000000001;1
246.2;1
119.8;1
21.4;0
-18.6000000000001;1
10.4;0
43.2;1
-192.8;0
-85.2;0
81.4000000000001;1
-249.4;0
-97.8;1
65.6000000000001;1
52;1
-78.5999999999999;1
67.2;1
-31.2;1
-55.4000000000001;0
203.6;0
35.4000000000001;1
-9.20000000000005;0
-107.6;0
-50.2;0
20.8;1
-101.6;0
-4.40000000000009;1
1.79999999999995;1
-7;1
-89;0
0.599999999999909;0
93;1
-101.2;0
42.4;0
-117.2;1
34.8;0
-65;0
-389.8;0
-271;0
17.6;0
-160.6;1
10;1
79.3999999999999;1
58;0
-18.4000000000001;0
-6.80000000000007;0
-33.8000000000001;1
-21.6;1
83.6000000000001;1
-15;1
-6.40000000000009;1
-9.19999999999982;0
-123.4;0
155.8;1
23;0
97.8;0
-221.8;0
291.4;1
-55.8;0
-30.4000000000001;1
318;1
43.2;0
24.4000000000001;0
-149.8;0
-25.9999999999999;0
14.8;1
2.59999999999991;0
-17.8;0
-154.2;0
-8;0
101;0
142.4;1
27.1999999999999;1
47.3999999999999;0
76.6000000000001;1
-56.4000000000001;1
-52.4;0
-27.8;0
-166.2;1
82.6;0
6.60000000000002;1
111;0
-83.1999999999999;0
18.2;1
14;0
-89.4000000000001;1
62.2;1
127.4;0
-2.79999999999995;1
-35.2;0
34.1999999999999;0
-16.2;1
17.8000000000001;0
-35.4000000000001;1
-135.2;1
-99.0000000000001;0
-55.2;0
-70.2;1
-26.8;1
-100;1
-20.5999999999999;1
-122.2;0
56.5999999999999;1
-7.60000000000002;0
-29.1999999999999;0
73.5999999999999;1
-149.6;0
19.4000000000001;1
105.4;0
-84.6000000000001;0
62.8;1
140;1
101.8;1
94.4000000000001;0
-33.5999999999999;0
54.4000000000001;1
-118;0
227.2;1
-127.8;0
-201.6;0
120;1
-4;1
47.8000000000001;1
-19.4;1
-9;0
-76.4000000000001;0
-10;0
50;1
-23.8000000000001;1
17.8;1
-45.2;0
-103;1
-398.6;0
176.6;1
-7.79999999999995;1
19.4000000000001;1
177.8;1
-379.4;0
-218.8;0
-53;0
96.8;1
-84.6;0
-135.4;1
-199.6;0
-10.4000000000001;0
-8.60000000000014;1
-290.2;0
357.8;0
-83.4000000000001;1
-174.8;0
88.4;0
-54.6;1
-112.2;0
-24.6;1
-232.4;1
-3;1
91.2;0
117.6;1
-2.19999999999982;0
-5.80000000000007;0
12;0
-56;0
-26.4000000000001;0
-109.6;1
122.6;0
-40.8;1
41.4000000000001;1
-93;0
44.6;1
58.1999999999999;1
-121;0
-416.4;0
105.6;1
-33;1
14.2;1
-55;1
48.4;1
-114.8;1
-141.2;1
77.8;0
-35.2;1
-104.6;1
60.9999999999999;1
22.4000000000001;1
8.80000000000018;0
-131.6;1
-102.2;1
-222.8;0
148.8;0
-57.2;0
-79.6;1
135.4;0
-42.6;1
32.4000000000001;1
-60;0
-5.39999999999998;1
-18.4000000000001;0
-25.6;1
74.0000000000001;0
-53.4000000000001;1
-96.5999999999999;0
107.4;1
-35.4000000000001;1
-37.8000000000001;1
-27.8;1
-100.4;0
49.2;0
57.2;0
43.8;0
-20.3999999999999;1
78;1
53.8;1
62.5999999999999;1
-127.4;0
54;1
79.1999999999999;0
-124.8;0
125.6;1
7.79999999999995;1
-126.8;0
-114.2;0
159.8;0
-74;0
82.4;0
112;0
-38.2;1
-49.8000000000001;1
-121.6;0
72.1999999999999;1
69.6;1
35.4;1
73.6000000000001;0
104;0
-32.2;1
-54.4;1
21.3999999999999;0
65;1
-119.4;0
43.2;0
89.8;0
-22.5999999999999;0
-85.5999999999999;1
116.8;1
55;1
23.6000000000001;1
-78.5999999999999;0
-54.8000000000001;0
-110;0
-33.1999999999999;1
-537.6;0
76;1
49.6000000000001;0
-54;1
193.6;1
8.20000000000005;1
25.8;1
70.1999999999999;1
87.5999999999999;0
56.2;0
-61.5999999999999;0
